2026-07-21 05:38:56.805: [INFO] OnDoneLoading sync enabled: 0
2026-07-21 05:38:56.935: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-21 05:39:54.070: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-07-21 05:39:54.071: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-07-21 05:39:54.074: [INFO] Primary account changed.
2026-07-21 05:39:54.074: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-07-21 05:39:58.031: [INFO] VisibilityChanged: 0
2026-07-21 05:41:25.358: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.358: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.358: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.358: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.359: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.360: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.360: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.360: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.360: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.360: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.360: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.360: [INFO] BookmarkNodeAdded, ABU: 0
2026-07-21 05:41:25.360: [INFO] BookmarkNodeAdded, ABU: 0
